pattern_row_id,analysis_scope,model,normalised_annotated_form,effective_error_category,effective_subrule,distinct_annotations,affected_documents,affected_reviewers,affected_archives,example_surface_forms,example_documents,reviewers,archives,all_form_annotations,rule_share_for_form,rule_share_wilson_lower_95,recurrent_across_documents_and_reviewers
63,all_models,ALL_MODELS,al,Cambios,Deleción,5,3,3,3,al,BnF_266_07 | AGN_GralParte_v001_exp1020_01 | AGI_INDIFERENTE_2065_N45_09,Paco | Paloma | Rodrigo,bnf_266 | agn_gralparte | agi_indiferente,6,0.8333333333333334,0.4364971778135299,True
64,all_models,ALL_MODELS,firme,Acentuación,No sub-rule assigned,5,3,3,3,firme,BnF_113_04 | AGN_Tierras_v039-2_exp003_41 | BnF_243_16,Paco | Flor | Rodrigo,bnf_113 | agn_tierras | bnf_243,6,0.8333333333333334,0.4364971778135299,True
65,all_models,ALL_MODELS,yndios,Filológicas - instrucciones,Regularización de i/y vocálicas,4,3,3,3,Yndios | yndios,AGN_Indios_v019_exp354_2 | BnF_113_22 | BnF_111_20,Alba | Paloma | Flor,agn_indios | bnf_113 | bnf_111,5,0.8,0.37553462976252533,True
66,all_models,ALL_MODELS,exmo,Abreviaturas,Expansión completa,4,3,3,2,Exmo | exmo,AGN_Inquisicion_v1568A_exp152_fs115-116v_03 | AGN_RealesCedDup_v030_exp874 | AGN_RealesCedDup_v050_exp062,Javier | Alba | Paloma,agn_inquisicion | agn_realesceddup,5,0.8,0.37553462976252533,True
67,all_models,ALL_MODELS,dn,Abreviaturas,Expansión completa,10,3,3,3,Dn,BnF_174_02 | UIA_Ms149_Exp3_04 | BnF_243_16,Javier | Alba | Rodrigo,bnf_174 | uia_ms149 | bnf_243,17,0.5882352941176471,0.36005442642999785,True
68,all_models,ALL_MODELS,dhos,Abreviaturas,Expansión completa,5,3,3,3,dhos,BnF_032_36 | AGI_PATRONATO_182_R3_01 | BnF_111_20,Paco | Alba | Flor,bnf_032 | agi_patronato | bnf_111,8,0.625,0.3057423946026273,True
69,all_models,ALL_MODELS,hecho,Cambios,Sustitución,3,3,3,3,hecho,Mechoacan_Yurirapundaro_2 | BnF_112_08 | BnF_394_10,Arturo | Paloma | Flor,mechoacan_yurirapundaro | bnf_112 | bnf_394,4,0.75,0.3006418425824019,True
70,all_models,ALL_MODELS,para,Cambios,Sustitución,6,3,3,2,para,BP_CM_R481_071_2 | BnF_266_10 | BnF_266_03,Adriana | Flor | Rodrigo,bp_cm | bnf_266,12,0.5,0.2537815976337061,True
71,all_models,ALL_MODELS,trato,Cambios,Sustitución,3,3,3,3,trato | Trato,BnF_104_2 | AGN_Indios_v009_exp003_fs4v-5_01 | BnF_264_02,Paco | Arturo | Paloma,bnf_104 | agn_indios | bnf_264,5,0.6,0.23072428127601285,True
72,all_models,ALL_MODELS,de la,Cambios,Inserción,4,3,3,3,de la,BnF_266_07 | BnF_119-148_33 | AGN_HospJesus_c474_leg267-2_exp024_7473-7537_05,Paco | Paloma | Rodrigo,bnf_266 | bnf_119-148 | agn_hospjesus,9,0.4444444444444444,0.18877852109766458,True
